PropType,Price,CBD Distance,Bedroom,Bathroom,Car-Garage,Landsize,Building Area,Built Year,RE Agency,Median Price,Median Rental,PropertyCount,Status
h,835000,12.6,2,2,2,688,299.1304348,1976,Bells,695000,420,3755,S
h,885000,11.2,3,1,2,687,429.375,1995,Nelson Alexander,735000,470,8870,S
h,900000,22.2,3,2,2,572,440,1970,Ray White,931000,600,3940,NS
u,923250,6.4,2,1,1,232,193.3333333,1973,Sweeney,860000,470,7570,NS
h,965000,10.5,2,1,1,544,362.6666667,1993,Barry Plant,695000,420,3755,S
h,1005000,11.5,5,3,2,647,431.3333333,1994,Brad,840500,470,2651,S
h,1017500,6.2,2,1,1,409,227.2222222,1890,Williams,1297500,550,5498,S
h,1065000,13.4,4,2,2,557,348.125,1978,Stockdale,1285000,525,4387,S
t,1100000,11.4,4,2,3,282,176.25,2003,HockingStuart,1480000,505,7822,S
h,1110000,4.2,2,1,0,416,231.1111111,2016,Nelson Alexander,927500,500,5263,S
h,1222000,6.7,4,2,1,515,321.875,1975,Nelson Alexander,1100000,530,11204,S
h,1308500,10.8,4,3,2,431,226.8421053,1975,Fletchers,1302000,600,4480,S
t,1350000,1.3,2,2,1,385,240.625,2005,Cain Real Estate,3725000,595,3040,S
u,1396000,2.4,1,1,0,141,100.7142857,1997,Collins,1340000,620,14949,S
h,1534375,2.1,4,2,2,567,354.375,2004,Kay,1715000,630,5825,S
h,1543000,16.7,5,5,2,651,310,2017,Bekdon,1750500,608,15321,S
t,1610000,13.7,3,2,2,332,276.6666667,2001,Buxton,2142500,695,5454,S
h,1630000,5.4,2,1,0,415,172.9166667,1920,HockingStuart,2735000,610,10331,S
h,1705250,4.5,3,2,1,593,329.4444444,2008,Marshall White,1540000,550,7717,S
h,1911000,16,4,3,2,616,256.6666667,2005,Buxton,1535000,670,4794,S
h,2070000,10.3,4,2,2,602,463.0769231,1950,Marshall White,2425000,800,6938,NS
h,2131250,5.7,1,1,0,447,194.3478261,2006,Nelson Alexander,2185000,480,2211,S
h,2236250,10.7,2,1,1,543,362,2004,Buxton,2425000,800,6938,S
h,2262375,2.7,2,2,0,499,262.6315789,2002,HockingStuart,2700000,565,14887,NS
h,4400000,6.1,5,4,4,657,410.625,1996,Marshall White,1116500,600,13240,S
h,355000,29.8,4,2,1,766,383,1980,Raine,495000,367,4718,S
h,360000,8.2,2,1,1,385,213.8888889,1992,Sweeney,915000,470,5058,S
h,400000,33.3,3,1,1,464,220.952381,1998,Stockdale,645000,480,8256,NS
u,440000,6.3,1,1,1,218,136.25,1985,Jellis Craig,2080000,560,4836,S
h,460000,14.5,3,1,1,601,286.1904762,1993,Eview,567500,390,851,NS
u,535000,11.4,1,1,1,252,157.5,2001,Buxton,1636000,650,3578,S
h,610000,14,3,1,2,401,211.0526316,1974,Barry Plant,650000,400,14042,S
u,610500,6.1,2,2,1,181,150.8333333,1974,Buxton,1116500,600,13240,S
h,700000,3.4,2,1,0,622,259.1666667,1989,Nelson Alexander,1603000,650,2954,NS
u,730000,11.4,4,2,2,264,188.5714286,2016,Miles,1170000,550,3540,NS
h,733250,14.7,3,2,2,400,166.6666667,2014,S&L,750000,470,15542,S
h,806000,11.7,3,2,4,546,455,1984,Barry Plant,960000,480,5629,S
t,810000,3.4,2,1,1,414,345,1986,Raine,1603000,650,2954,NS
h,810000,20.5,4,2,2,639,355,2007,RW Property Group,710000,470,7969,S
t,820000,17.2,3,2,1,312,222.8571429,2010,Hoskins,1155000,495,6871,NS
h,858000,23,3,1,2,790,564.2857143,1960,RW Property Group,845500,510,11925,S
u,900000,7.2,3,2,2,243,151.875,1995,Buxton,2325000,550,4898,NS
h,950000,11.2,3,2,2,565,226,2011,RW Property Group,815000,450,21650,S
u,978500,3.3,2,2,2,164,102.5,2014,HockingStuart,2700000,565,14887,S
h,1040000,3.6,3,2,1,734,386.3157895,2005,Nelson Alexander,1603000,650,2954,S
h,1079125,8.7,3,1,2,692,494.2857143,1998,Brad,1055000,540,4918,S
h,1100000,13,3,1,2,632,252.8,2007,Buxton,1885000,600,6795,S
h,1111000,13.8,3,2,2,509,318.125,1994,Jellis Craig,1305000,650,10969,S
h,1230000,10.8,3,1,1,757,315.4166667,1994,Barry Plant,1302000,600,4480,S
h,1245000,12.3,3,1,1,545,340.625,1990.5,Woodards,1525000,550,3224,S
h,1305000,5.9,2,1,2,603,463.8461538,2012,Barry Plant,1349000,500,6567,S
h,1510000,8,4,4,3,603,251.25,1994,Nelson Alexander,1765000,490,9264,S
h,1580000,14.7,4,2,2,724,517.1428571,1981,Fletchers,1183000,560,4048,S
u,1607000,10.4,1,1,1,279,174.375,2020,Gary,1513000,520,2403,NS
h,1680000,7.5,3,2,2,673,320.4761905,1965,Raine,1900000,650,1543,S
h,1900000,10.5,3,2,1,409,177.826087,1993,RT Edgar,3195000,805,10579,NS
h,1900000,13.8,4,2,2,695,496.4285714,1993,HockingStuart,2142500,695,5454,S
h,2410000,7.2,4,2,1,390,177.2727273,1920,Biggin,2325000,550,4898,NS
t,2416250,7.8,3,1,2,333,208.125,1981,Gary,1975000,825,6923,NS
h,2625875,5.3,4,3,2,602,261.7391304,1991,RT Edgar,2601000,495,11308,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
h,2650000,7.7,4,2,2,791,608.4615385,1930,RT Edgar,2250000,595,8920,NS
t,2650000,10.5,3,3,2,360,257.1428571,1993,Marshall White,3195000,805,10579,NS
h,3329000,10.5,5,3,2,796,318.4,1981,Marshall White,3195000,805,10579,S
h,396000,28.8,3,2,1,413,206.5,2010,Century 21,545000,395,3533,S
u,428000,7,1,1,1,171,142.5,1970,Harcourts,1250000,500,8870,NS
u,435000,5,1,1,0,176,110,2019,HockingStuart,1116500,600,13240,S
u,452000,1.6,1,1,1,194,161.6666667,2014,Jellis Craig,1062500,580,4553,S
h,485000,36.9,2,2,1,397,330.8333333,1985,Community,555000,410,2500,S
h,520500,25.9,4,2,2,482,192.8,2010,RW Property Group,642500,450,5812,S
u,650000,6.9,3,1,1,239,170.7142857,1990,Brad,1065000,500,6232,S
u,670000,7.2,2,1,0,242,201.6666667,1950,Chisholm,2030000,520,8989,NS
h,675000,24.8,3,1,2,664,276.6666667,1981,Stockdale,860000,500,10788,S
u,680000,7.2,1,1,1,197,123.125,1986,Buxton,2030000,520,8989,NS
h,765000,14.5,3,1,2,638,290,1960,Ray White,872000,525,1442,NS
u,781000,4.5,2,1,1,235,146.875,2005,Wilson,1540000,550,7717,S
h,845000,10.4,3,1,2,589,256.0869565,2013,Barry Plant,795000,480,3464,S
t,865000,5.9,2,1,2,416,260,2004,Barry Plant,1225000,620,7082,S
u,880000,10.2,3,3,2,194,161.6666667,2013,Buxton,1310000,560,2894,S
u,910000,7.5,1,1,0,284,177.5,1987,Brad,1900000,650,1543,S
h,950000,16,3,3,4,423,192.2727273,1995,Maitland,1535000,670,4794,NS
h,1032250,21.3,3,1,1,656,262.4,1961.5,Barry Plant,1028000,525,3794,S
h,1050000,5.5,3,1,0,469,335,1988,Nelson Alexander,1690000,580,11364,S
h,1060000,18,4,2,2,527,210.8,1980,Buckingham,1040000,540,6990,S
h,1100000,21.5,5,3,4,452,265.8823529,1990,Buxton,1251500,520,5087,NS
h,1100000,2.1,2,1,2,414,318.4615385,2019,Greg,2045000,600,5943,NS
u,1110000,3.8,2,2,1,259,161.875,2002,RT Edgar,1735000,675,8648,S
h,1300000,2.7,3,1,1,452,322.8571429,1995,Jellis Craig,2700000,565,14887,NS
h,1300000,6.3,2,1,2,428,225.2631579,2011,Jellis Craig,2080000,560,4836,NS
t,1320000,13.8,3,2,2,320,266.6666667,2014,Hodges,1270000,710,2356,S
t,1320500,13.8,4,3,2,333,277.5,2017,Buxton,1305000,650,10969,S
t,1321000,2.4,3,2,2,394,246.25,1997,Nelson Alexander,1340000,620,14949,S
h,1330000,5.8,2,1,1,600,500,2001,Barry Plant,1304000,480,2970,S
u,1364500,10.6,2,1,1,184,115,2008,Ray White,1265000,500,2890,NS
h,1390000,11.2,5,4,4,792,416.8421053,1925,Jellis Craig,840500,470,2651,S
t,1400000,12.2,4,2,2,323,230.7142857,2020,Buxton,1310000,560,2894,S
h,1470000,18,4,4,3,580,241.6666667,2014,Jellis Craig,1040000,540,6990,S
h,1678000,6.1,3,2,2,597,459.2307692,1976,McGrath,1116500,600,13240,S
h,1875000,11.8,4,2,2,702,305.2173913,1978,HockingStuart,1636000,650,3578,S
h,2560000,3.4,3,2,2,542,235.6521739,1994,Collins,1603000,650,2954,S
u,411000,8,2,1,1,274,171.25,2008,Nelson Alexander,1765000,490,9264,S
u,420000,34.9,3,2,2,175,145.8333333,2008,O'Brien Real Estate,680000,480,8060,S
h,450250,31.7,3,1,2,780,520,1970,Barry Plant,456000,410,3600,S
u,510000,4.5,2,1,1,220,183.3333333,1993,Nelson Alexander,1201000,675,5533,S
h,555000,8.5,2,1,1,477,238.5,1980,Nelson Alexander,897500,490,7485,S
u,585000,5.2,2,1,1,199,165.8333333,1994,Jellis Craig,1300000,550,11918,NS
u,600000,21.5,2,1,1,253,210.8333333,1967,Barry Plant,1355000,520,3650,S
h,615000,18.4,3,2,2,600,461.5384615,2000,Barry Plant,625000,450,13830,S
t,650000,7,2,1,1,324,202.5,1996,Jason,1070000,550,6543,NS
h,671000,20.4,3,2,2,595,247.9166667,2006,Barry Plant,825000,520,4864,S
u,672000,11.2,3,1,2,173,144.1666667,1990,Harcourts,815000,450,21650,S
u,696000,2.6,2,2,1,203,169.1666667,2010,Jellis Craig,1340000,620,14949,S
t,805000,13.9,2,1,2,391,244.375,2000,HockingStuart,1305000,650,10969,S
h,807500,5.1,2,1,2,396,330,2016,Sweeney,1215000,550,2417,S
h,925000,11.1,3,2,1,491,409.1666667,1997,RT Edgar,880000,500,5132,S
h,950000,17.2,4,2,2,660,471.4285714,1981,Fletchers,1525000,560,4280,NS
t,1210000,13.9,4,2,3,385,275,2013,Buxton,1305000,650,10969,S
h,1308500,11.8,2,1,1,484,193.6,1988,Fletchers,1302000,600,4480,S
h,1364125,11.7,4,1,3,697,366.8421053,1983,Ray White,1370000,560,5678,NS
h,1370000,14.3,4,2,2,431,195.9090909,1965,Fletchers,1500000,600,10999,S
t,1396000,2.4,1,1,1,344,245.7142857,1920,Greg,1340000,620,14949,S
h,1534375,2.1,3,2,1,435,217.5,1860,Nelson Alexander,1715000,630,5825,NS
h,2050000,8.7,5,3,2,579,445.3846154,2013,Gary,1800000,700,5051,NS
h,2100000,5.9,5,3,3,468,275.2941176,1973,Nelson Alexander,1349000,500,6567,S
h,2195000,10.2,4,1,0,513,213.75,1994,Marshall White,2270000,600,5457,S
t,2236250,10.3,3,2,2,320,228.5714286,2013,Gary,2425000,800,6938,S
u,2659000,7.4,1,1,1,237,148.125,1978,HockingStuart,1750000,583,4675,S
u,5487500,4.1,2,1,1,270,225,1950,HockingStuart,3930000,600,7217,S
h,412500,20.5,1,1,0,511,365,2016,Hamilton,710000,470,7969,S
u,490000,3.4,2,1,2,178,148.3333333,2017,Nelson Alexander,927500,500,5263,S
h,515000,20.6,3,2,1,523,227.3913043,2008,RE,646000,460,15510,S
h,521500,31.7,3,2,2,430,252.9411765,1990,HockingStuart,550000,360,6065,NS
u,570500,7.4,2,1,2,277,173.125,2011,HockingStuart,1750000,583,4675,S
h,622000,20.6,3,2,2,552,345,2000,Stockdale,670000,450,5833,S
h,701000,6.5,3,3,2,645,322.5,2001,Stockdale,1250000,500,8870,S
t,730000,10.4,3,1,2,336,210,2010,Brad,795000,480,3464,S
t,752000,5.6,3,2,2,332,276.6666667,2002,HockingStuart,2735000,610,10331,S
h,825000,7.8,4,4,2,543,236.0869565,1985,Ray White,1100000,530,11204,S
h,832000,6.4,4,1,1,421,233.8888889,1910,Jason,915000,470,5058,S
t,873750,12,2,1,1,378,270,1993,RW Property Group,815000,450,21650,NS
u,969000,14,2,2,2,169,140.8333333,1989,Buxton,1525000,550,3224,S
h,1088000,2.6,3,3,2,594,237.6,1915,Jellis Craig,1340000,620,14949,S
h,1100000,14.2,4,2,2,546,364,1982,TTS Real Estate,1407000,600,13366,NS
h,1140000,8.9,4,2,2,574,302.1052632,1980,Miles,1083000,560,2698,NS
h,1252000,7.5,3,1,2,501,417.5,1991,Nelson Alexander,960000,630,588,S
h,1280000,13.8,3,1,3,658,365.5555556,1998,Buxton,1270000,710,2356,S
h,1437000,10.1,3,2,2,763,448.8235294,1996,Ray White,1840000,498,4442,S
h,1519375,13.4,3,1,2,525,350,1985,Woodards,1481000,520,5713,S
h,1700000,8.4,3,1,1,588,392,1992.5,Buxton,1511000,550,8801,NS
h,1751000,9.2,3,1,3,609,243.6,1992,Jellis Craig,2235000,595,10412,S
h,2630000,10.7,4,2,3,523,249.047619,1993,Buxton,2425000,800,6938,S
t,2652875,5.4,2,2,1,355,253.5714286,1998,Nelson Alexander,2735000,610,10331,S
h,2659000,7.4,1,1,0,434,333.8461538,2011,Marshall White,1750000,583,4675,S
h,2810000,5,4,5,3,497,261.5789474,1995,Pride,1116500,600,13240,S
h,6460000,4.1,4,3,2,557,327.6470588,1995,RT Edgar,3930000,600,7217,S
u,310000,3.3,2,1,1,214,152.8571429,2016,HockingStuart,2700000,565,14887,S
u,312000,5.2,1,1,1,237,197.5,1970,Jellis Craig,1225000,620,7082,S
h,535000,17.4,3,1,4,572,286,1980,Barry Plant,535000,400,4704,S
u,550000,4.1,1,1,1,200,125,1965,Williams,3930000,600,7217,NS
h,561000,19.6,3,1,0,518,235.4545455,1998,HockingStuart,639000,450,10926,S
h,570000,31.7,3,2,2,640,266.6666667,1990,Raine,637500,450,14092,S
h,610000,23,3,2,3,503,264.7368421,1940,McGrath,1182500,615,2985,NS
h,644000,25.5,4,2,2,400,333.3333333,2011,Harcourts,661000,500,2940,NS
h,680000,18,3,2,4,394,231.7647059,1995,Calder,659000,410,2898,S
h,694000,14,4,2,2,612,470.7692308,1960,Nelson Alexander,650000,400,14042,S
u,716000,6.5,2,1,1,170,106.25,2009,Love,1250000,500,8870,S
h,751000,5.9,3,2,1,474,395,1981,Nelson Alexander,1349000,500,6567,NS
t,770000,12.8,3,2,1,331,236.4285714,1997,Barry Plant,960000,480,5629,S
u,787000,5.6,1,1,0,171,106.875,2002,Jellis Craig,2735000,610,10331,S
h,791000,16.5,4,2,6,587,345.2941176,1960,Barry Plant,670000,420,2474,S
t,840000,5.9,3,1,2,403,287.8571429,2010,Brad,1349000,500,6567,S
u,846000,1.9,2,1,1,206,128.75,2000,Greg,2045000,600,5943,S
h,881750,14.5,3,2,2,439,258.2352941,1990,Parkes,872000,525,1442,S
t,1000000,8.5,2,2,1,302,188.75,1989,Ray White,897500,490,7485,S
h,1150000,5.9,4,2,3,424,265,1984,Nelson Alexander,1225000,620,7082,NS
h,1350000,8.4,5,3,4,525,291.6666667,2014,RW Property Group,1079000,500,14577,S
h,1396000,2.6,3,2,1,508,254,1998,Biggin,1340000,620,14949,NS
u,1431000,14.2,3,1,2,258,161.25,2005,Biggin,1407000,600,13366,S
h,1450000,4.3,4,2,2,636,454.2857143,1996,Hodges,900000,500,1052,S
h,1530000,4.3,3,2,1,644,268.3333333,1979,Nelson Alexander,1349000,500,6567,S
h,1700500,1.9,3,1,2,441,245,2001,Greg,2045000,600,5943,NS
h,1705000,10.6,3,1,2,765,425,2012,Barry Plant,1265000,500,2890,S
h,2140000,13.7,4,2,3,688,312.7272727,1987,Hodges,2142500,695,5454,S
h,2339375,7.3,4,2,2,696,409.4117647,1920,Marshall White,2235000,595,10412,S
h,2339375,7.3,4,2,3,715,286,1983,Marshall White,2235000,595,10412,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2361000,7.7,5,3,2,556,222.4,1920,Fletchers,2250000,595,8920,S
h,2500000,8.4,3,3,3,685,526.9230769,1925,Jellis Craig,1511000,550,8801,NS
h,2652875,5.6,2,1,1,634,275.6521739,2002,Marshall White,2735000,610,10331,S
h,3300000,5.4,4,3,2,741,390,1920,Jellis Craig,2735000,610,10331,S
u,507000,11.4,2,1,1,155,129.1666667,1960,Ray White,1636000,650,3578,S
u,511000,11.2,2,1,2,203,169.1666667,1984,Love,815000,450,21650,S
u,511000,9.2,2,1,1,277,230.8333333,2013,Marshall White,2235000,595,10412,S
u,555000,3.6,1,1,0,203,126.875,2017,Nelson Alexander,1600000,650,6244,S
h,565000,25.9,3,1,1,606,318.9473684,1985,RW Property Group,642500,450,5812,S
h,568750,14.7,4,2,3,720,378.9473684,1985,Greg,587000,450,16166,S
t,680000,14.7,3,2,1,384,240,2001,Fletchers,1046000,550,3692,S
u,700000,8,3,1,1,227,189.1666667,2009,Nelson Alexander,1765000,490,9264,S
h,705000,20.6,4,2,2,498,383.0769231,2000,YPA,670000,450,5833,S
h,830000,9.2,2,1,2,385,320.8333333,2009,Rendina,897500,450,3873,S
h,845000,16.1,3,2,2,363,226.875,1983,Morrison,938500,490,8524,NS
t,845000,7.7,2,1,2,411,256.875,2005,Village,1360000,550,1223,NS
h,847500,34.7,4,2,4,651,271.25,2008,O'Brien Real Estate,633000,500,7680,S
h,880000,18.8,4,2,1,652,362.2222222,1960,Barry Plant,933000,608,7113,NS
h,955000,7,3,1,1,461,242.6315789,1992.5,Jellis Craig,1070000,550,6543,S
h,998000,11.2,3,2,3,479,342.1428571,2005,Nelson Alexander,815000,450,21650,S
h,1055000,13,3,1,1,562,374.6666667,1999,Woodards,1207500,498,3145,S
h,1238875,8.4,1,1,0,492,410,1978,Williams,1297500,550,5498,S
h,1320625,4.5,2,1,1,621,282.2727273,2015,Nelson Alexander,1201000,675,5533,S
h,1364125,11.7,3,1,2,763,448.8235294,1970,Woodards,1370000,560,5678,S
h,1400000,13.9,3,1,2,692,432.5,1960,Jellis Craig,1320000,600,9028,S
u,1500000,8.4,2,2,2,151,125.8333333,1992.5,Marshall White,1511000,550,8801,NS
h,1631500,3.5,3,1,0,570,237.5,1980,Collins,1600000,650,6244,S
h,1650000,2.6,4,3,2,503,295.8823529,1998,HockingStuart,1340000,620,14949,S
u,1695250,3.5,3,2,2,226,141.25,2010,Biggin,1735000,675,8648,S
h,1796250,2.1,2,1,1,441,259.4117647,1997,Frank,2045000,600,5943,S
h,2150625,9.2,2,2,1,600,461.5384615,1995,Fletchers,2220000,700,7809,S
h,2339375,9.2,4,3,3,718,552.3076923,1990,Marshall White,2235000,595,10412,S
h,2400000,13.7,4,2,4,628,330.5263158,2009,Marshall White,2142500,695,5454,S
h,2529875,6.3,3,2,1,626,521.6666667,2003,Jellis Craig,2080000,560,4836,S
u,2659000,5.9,1,1,0,277,173.125,2001,Jellis Craig,1750000,583,4675,NS
h,3005750,9,4,2,2,598,271.8181818,1987,Marshall White,2440000,600,3265,S
