Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price_per_sqm
Abbotsford,159 Park St,2,h,S,Nelson,22/08/2016,-1.274011185401783,3067.0,2.0,2.0,2.0,-1.0806289926969082,-0.16458015585711208,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,8867.1875
Abbotsford,166 Gipps St,3,h,S,Biggin,25/02/2017,-1.274011185401783,3067.0,3.0,2.0,2.0,-0.9301091426951134,-0.982575937811637,1970.0,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019.0,71666.66666666667
Abbotsford,60 Stafford St,3,h,S,Biggin,25/02/2017,-1.274011185401783,3067.0,3.0,1.0,1.0,-0.865600635551487,-0.19432545701909482,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,10403.225806451614
Abbotsford,11/205 Gipps St,1,u,S,Nelson,26/07/2016,-1.274011185401783,3067.0,1.0,1.0,1.0,-1.3816686927004975,-0.7446135285157752,2013.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0,9400.0
Abbotsford,47 Studley St,2,h,S,Jellis,27/11/2016,-1.274011185401783,3067.0,2.0,1.0,0.0,-0.8840316375925231,-0.4397241916054523,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0,12967.032967032967
Abbotsford,45 Yarra St,3,h,SP,Jellis,27/11/2016,-1.274011185401783,3067.0,3.0,2.0,1.0,-1.0130486518797759,-0.16458015585711208,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0,9335.9375
Abbotsford,200 Nicholson St,2,h,S,Nelson,28/05/2016,-1.274011185401783,3067.0,2.0,1.0,0.0,-0.8225949641224028,-0.5066511192199133,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0,12347.560975609756
Abbotsford,27 Charles St,2,h,S,Biggin,30/07/2016,-1.274011185401783,3067.0,2.0,1.0,1.0,-0.8533133008574629,-0.5140874445104091,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0,12716.04938271605
Airport West,154 Halsey Rd,3,t,PI,Nelson,3/09/2016,0.331915287207499,3042.0,3.0,2.0,1.0,-0.450903089628175,0.5567433973209689,2016.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0,3733.3333333333335
Airport West,50 Bedford St,3,h,VB,Nelson,3/12/2016,0.331915287207499,3042.0,3.0,2.0,1.0,-1.3816686927004975,-0.03816262591868552,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,5034.482758620689
Airport West,50 Bedford St,3,h,SP,Nelson,4/03/2017,0.331915287207499,3042.0,3.0,2.0,1.0,-1.3816686927004975,-0.03816262591868552,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,5310.3448275862065
Airport West,23 Hart St,2,h,S,Nelson,4/03/2017,0.331915287207499,3042.0,2.0,1.0,1.0,-0.5461299335068615,-0.49177846863892205,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0,7178.571428571428
Airport West,1/80 Hawker St,3,t,S,Brad,4/03/2017,0.331915287207499,3042.0,3.0,2.0,2.0,-0.64750044473256,-0.11996220411413801,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,5223.880597014925
Airport West,1/37 Hillside Gr,3,h,S,Maddison,4/03/2017,0.331915287207499,3042.0,2.0,1.0,1.0,-0.4908369273837532,-0.25381605934306023,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,5172.413793103448
Airport West,2/49 McIntosh St,2,u,VB,Barry,4/03/2017,0.331915287207499,3042.0,2.0,1.0,1.0,-0.865600635551487,-0.4769058180579307,2011.0,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464.0,5813.953488372093
Airport West,36 Roberts Rd,4,h,S,Considine,6/08/2016,0.331915287207499,3042.0,3.0,1.0,2.0,0.45221601038259357,-0.17201648114760776,1970.0,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464.0,6181.102362204724
Airport West,11 Harrington Rd,6,h,SP,Barry,7/05/2016,0.331915287207499,3042.0,6.0,3.0,2.0,1.6164409726413735,0.26672671099163736,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0,3897.8494623655915
Airport West,2/252 Parer Rd,2,t,S,Barry,7/05/2016,0.331915287207499,3042.0,2.0,1.0,1.0,-1.043766988614836,-0.44716051689594793,2015.0,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464.0,5000.0
Airport West,3/19 Hart St,2,u,S,Barry,7/11/2016,0.331915287207499,3042.0,2.0,1.0,1.0,-0.9485401447361494,-0.5735780468343745,2013.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464.0,7054.7945205479455
Airport West,2/62 Clydesdale Rd,2,u,S,Nelson,10/09/2016,0.331915287207499,3042.0,2.0,1.0,1.0,-1.0130486518797759,-0.41741521573396523,2012.0,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464.0,5638.297872340426
Airport West,3 Deidre Ct,3,h,PI,Rendina,10/09/2016,0.331915287207499,3042.0,3.0,1.0,6.0,1.883690502236397,-0.1273985294046337,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0,6729.3233082706765
Airport West,13 Etzel St,3,h,S,Nelson,10/12/2016,0.331915287207499,3042.0,3.0,1.0,1.0,-1.3816686927004975,-0.33561563753851276,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,7666.666666666667
Airport West,1/43 Cameron St,3,u,S,Nelson,11/02/2017,0.331915287207499,3042.0,3.0,1.0,1.0,-0.5676327692214036,-0.14970750527612073,1993.0,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464.0,5784.615384615385
Airport West,2/40 Earl St,3,t,PI,Brad,15/10/2016,0.331915287207499,3042.0,3.0,2.0,2.0,-0.8748161365720051,-0.1273985294046337,2009.0,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464.0,5263.1578947368425
Airport West,180 Parer Rd,3,h,S,Barry,16/04/2016,0.331915287207499,3042.0,3.0,1.0,2.0,1.6010818042738435,-0.2761250352145473,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0,7345.132743362832
Airport West,174 Parer Rd,2,h,S,Barry,16/07/2016,0.331915287207499,3042.0,2.0,1.0,1.0,0.4982935154851838,-0.37279726399099117,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0,6750.0
Airport West,138 Victory Rd,3,h,S,Nelson,16/07/2016,0.331915287207499,3042.0,3.0,2.0,5.0,0.4982935154851838,0.1774908075056892,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0,5988.505747126437
Airport West,6 Kittyhawk St,4,h,S,Brad,17/09/2016,0.331915287207499,3042.0,5.0,3.0,4.0,0.24947498793119655,1.1813947217226062,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0,2501.6181229773465
Airport West,478 Fullarton Rd,3,h,PI,Barry,18/03/2017,0.331915287207499,3042.0,3.0,3.0,2.0,0.3231989960953409,0.3113446627346115,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0,4218.75
Airport West,144 Marshall Rd,3,h,S,Rendina,18/03/2017,0.331915287207499,3042.0,3.0,2.0,2.0,-0.08535488248095913,-0.17945280643810346,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0,5674.603174603175
Airport West,3/7 South Rd,3,t,SP,Nelson,18/06/2016,0.331915287207499,3042.0,2.0,2.0,1.0,-0.8871034712660292,-0.36536093870049546,2010.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0,5346.534653465346
Airport West,37 North St,3,t,SP,Barry,19/11/2016,0.331915287207499,3042.0,3.0,2.0,1.0,-0.48162142636323513,-0.35792461340999976,1960.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0,8088.235294117647
Airport West,10 Hilbert Rd,3,h,S,Barry,22/05/2016,0.331915287207499,3042.0,3.0,1.0,1.0,0.3969230042594853,-0.2761250352145473,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0,6061.946902654868
Airport West,2/13 North St,2,u,S,Nelson,22/08/2016,0.331915287207499,3042.0,2.0,1.0,1.0,-0.9485401447361494,-0.5512690709628875,1970.0,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464.0,6710.526315789473
Airport West,85 Roberts Rd,4,h,S,Harcourts,27/11/2016,0.331915287207499,3042.0,4.0,2.0,3.0,0.54744285426128,-0.03072630062818984,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0,6164.3835616438355
Albert Park,105 Kerferd Rd,2,h,S,hockingstuart,3/09/2016,-1.1572165328483806,3206.0,2.0,1.0,0.0,-1.0130486518797759,-0.5066511192199133,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,15548.780487804877
Albert Park,112 Beaconsfield Pde,3,h,PI,Buxton,4/03/2017,-1.1572165328483806,3206.0,3.0,2.0,0.0,-0.7335117875907284,0.35596261447758554,1890.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280.0,14393.939393939394
Albert Park,94 Graham St,3,h,S,Greg,4/03/2017,-1.1572165328483806,3206.0,3.0,2.0,0.0,-0.9884739824917277,-0.1273985294046337,1890.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0,13909.774436090225
Albert Park,396 Montague St,2,h,S,RT,4/03/2017,-1.1572165328483806,3206.0,2.0,1.0,0.0,-0.9823303151447156,-0.5140874445104091,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0,17728.395061728395
Albert Park,104 Richardson St,4,h,S,Marshall,7/05/2016,-1.1572165328483806,3206.0,4.0,2.0,1.0,-0.9116781406540773,0.2221087592486633,1880.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280.0,12777.777777777777
Albert Park,1 Moubray St,3,h,VB,Greg,7/11/2016,-1.1572165328483806,3206.0,3.0,2.0,1.0,-0.9761866477977036,0.06594592814825401,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0,11320.754716981131
Albert Park,29 Faussett St,2,h,S,Greg,10/09/2016,-1.1572165328483806,3206.0,2.0,1.0,1.0,-0.7703737916728006,-0.3207429869575214,1900.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280.0,19813.084112149532
Albert Park,24 Kerferd Pl,3,h,S,Marshall,10/09/2016,-1.1572165328483806,3206.0,3.0,2.0,1.0,-1.1052036620849564,-0.20919810760008617,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0,14754.098360655738
Albert Park,2 Dundas Pl,3,h,S,Cayzer,10/12/2016,-1.1572165328483806,3206.0,3.0,2.0,1.0,-0.8379541324899329,0.22954508453915898,1880.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,14447.513812154697
Albert Park,4a Gatehouse La,3,h,S,Greg,12/06/2016,-1.1572165328483806,3206.0,3.0,2.0,2.0,-1.3816686927004975,-0.48434214334842635,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0,16117.64705882353
Albert Park,65 Graham St,2,h,S,Greg,15/10/2016,-1.1572165328483806,3206.0,2.0,1.0,0.0,-0.9239654753481014,-0.3876699145719825,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0,13494.897959183674
Albert Park,364 Montague St,2,h,S,Greg,15/10/2016,-1.1572165328483806,3206.0,2.0,1.0,0.0,-0.9485401447361494,-0.4992147939294177,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0,18825.301204819276
Albert Park,86 Mills St,3,h,VB,RT,16/04/2016,-1.1572165328483806,3206.0,3.0,2.0,1.0,-0.7335117875907284,-0.02328997533769416,1900.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280.0,13605.442176870749
Albert Park,97 Page St,3,h,S,Greg,18/03/2017,-1.1572165328483806,3206.0,3.0,2.0,0.0,-0.9301091426951134,-0.03072630062818984,1890.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280.0,20616.438356164384
Albert Park,55 Withers St,4,h,VB,Cayzer,18/06/2016,-1.1572165328483806,3206.0,4.0,3.0,1.0,-0.3771790814640306,0.7723968307453437,1910.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0,11023.622047244095
Albert Park,55 Merton St,3,h,SP,Marshall,23/04/2016,-1.1572165328483806,3206.0,2.0,1.0,1.0,-1.0130486518797759,-0.2017617823095905,1900.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280.0,17073.170731707316
Albert Park,49 Page St,3,h,PI,Marshall,24/09/2016,-1.1572165328483806,3206.0,3.0,1.0,1.0,-0.650572278406066,-0.14227117998562505,1890.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280.0,15267.175572519083
Albert Park,13/52 Moubray St,1,u,S,Marshall,25/02/2017,-1.1572165328483806,3206.0,1.0,1.0,0.0,-1.3816686927004975,-0.863594733163706,1970.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0,13014.70588235294
Albert Park,27 Barrett St,4,h,S,Greg,27/06/2016,-1.1572165328483806,3206.0,3.0,2.0,1.0,-0.8195231304488968,-0.03816262591868552,1880.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280.0,14758.620689655172
Albert Park,6 Brooke St,2,h,S,Greg,28/05/2016,-1.1572165328483806,3206.0,2.0,1.0,0.0,-1.1389938324935225,-0.6107596732868529,1890.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0,14411.764705882353
Albert Park,17 Reed St,3,h,PI,Marshall,28/08/2016,-1.1572165328483806,3206.0,3.0,2.0,2.0,-0.9301091426951134,-0.11996220411413801,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0,12985.074626865671
Albert Park,9 Durham St,1,h,S,Marshall,30/07/2016,-1.1572165328483806,3206.0,1.0,1.0,0.0,-1.1328501651465104,-0.7148682273537924,1900.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280.0,18240.74074074074
Alphington,6 Smith St,4,h,S,Brace,3/09/2016,-0.7046372542039465,3078.0,3.0,2.0,4.0,1.2386054308001335,0.8393237583598048,1930.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211.0,7604.5627376425855
Alphington,44 Shiers St,4,h,S,Collins,8/10/2016,-0.7046372542039465,3078.0,4.0,2.0,1.0,0.4583596777296056,0.39314424093006395,1925.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0,8460.591133004926
Alphington,83 Fulham Rd,5,h,S,Nelson,12/06/2016,-0.7046372542039465,3078.0,5.0,4.0,4.0,1.1034447491658688,0.1105638798912281,1910.0,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211.0,17212.121212121212
Alphington,3/19 Harker St,2,u,S,Miles,12/11/2016,-0.7046372542039465,3078.0,2.0,1.0,1.0,-1.1113473294319682,-0.6702502756108184,1960.0,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211.0,8758.333333333334
Alphington,4/2 Miller St,2,t,S,Miles,12/11/2016,-0.7046372542039465,3078.0,2.0,2.0,3.0,-0.9055344733070653,-0.07534425237116392,2004.0,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211.0,5750.0
Alphington,10 Bennett St,4,h,S,Nelson,19/11/2016,-0.7046372542039465,3078.0,4.0,2.0,2.0,0.4798625134441477,-0.283561360505043,1970.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0,16339.285714285714
Alphington,38 Bennett St,4,h,S,Nelson,19/11/2016,-0.7046372542039465,3078.0,4.0,2.0,2.0,0.38463566956546125,0.8988143606837702,2008.0,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211.0,7749.077490774907
Alphington,2c Hamilton St,3,h,SP,hockingstuart,22/05/2016,-0.7046372542039465,3078.0,3.0,1.0,1.0,-0.8287386314694148,-0.14227117998562505,2010.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0,6603.053435114503
Alphington,5/5 Yarana Rd,2,u,VB,Nelson,22/05/2016,-0.7046372542039465,3078.0,2.0,1.0,1.0,-1.3816686927004975,-0.6702502756108184,1960.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0,6500.0
Alphington,1/14 Fulham Rd,2,u,S,Love,25/02/2017,-0.7046372542039465,3078.0,2.0,1.0,1.0,-1.3816686927004975,-0.6628139503203226,1965.0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,2211.0,8393.442622950819
Alphington,11 Margaret Gr,4,h,SP,McGrath,27/11/2016,-0.7046372542039465,3078.0,4.0,2.0,2.0,0.3262708297688469,0.906250685974266,1930.0,Darebin City Council,-37.7844,145.0225,Northern Metropolitan,2211.0,6985.294117647059
Alphington,42 Shiers St,4,h,S,Jellis,30/07/2016,-0.7046372542039465,3078.0,4.0,2.0,3.0,0.4276413409945454,0.4451985179635337,1920.0,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,2211.0,9285.714285714286
Altona,158 Queen St,3,h,VB,Greg,3/09/2016,0.375713281915025,3018.0,3.0,2.0,1.0,-0.3003832396263802,0.6831609272593955,2015.0,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301.0,2148.7603305785124
Altona,59 Bracken Gr,5,h,S,Greg,3/12/2016,0.375713281915025,3018.0,5.0,3.0,3.0,0.8576980552853876,0.8765053848122832,2005.0,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301.0,5690.298507462687
Altona,1/123 Blyth St,2,t,S,hockingstuart,4/02/2016,0.375713281915025,3018.0,2.0,1.0,2.0,-0.4846932600367411,-0.18688913172859914,2013.0,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301.0,5760.0
Altona,4 Blyth St,3,h,S,Barlow,4/03/2017,0.375713281915025,3018.0,3.0,1.0,2.0,0.17267914609354615,-0.22407075818107752,1930.0,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301.0,9333.333333333334
Altona,29 Rose St,4,h,SP,Greg,4/06/2016,0.375713281915025,3018.0,4.0,3.0,6.0,1.865259500195361,0.5195617708684905,1962.0,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301.0,8090.909090909091
Altona,1/170 Blyth St,3,u,S,Barlow,6/08/2016,0.375713281915025,3018.0,2.0,1.0,2.0,-0.42632842024012685,-0.41741521573396523,1955.0,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301.0,6702.127659574468
Altona,156 Maidstone St,3,h,VB,Greg,7/05/2016,0.375713281915025,3018.0,3.0,1.0,1.0,0.46757517875012367,-0.2017617823095905,1955.0,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301.0,5365.8536585365855
Altona,1/136 Queen St,2,u,S,Barlow,8/10/2016,0.375713281915025,3018.0,2.0,1.0,1.0,-0.6905061161616441,-0.42485154102446093,1988.0,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301.0,6236.559139784947
Altona,173 Queen St,3,h,S,hockingstuart,8/10/2016,0.375713281915025,3018.0,3.0,1.0,4.0,1.0051460716136764,-0.9528306366496543,1953.0,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,5301.0,60681.818181818184
Altona,3/26 Grieve Pde,2,u,S,Village,10/09/2016,0.375713281915025,3018.0,2.0,1.0,1.0,-0.9915458161652336,-0.5512690709628875,1990.0,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,5301.0,6710.526315789473
Altona,4/5 Rose St,2,u,S,hockingstuart,10/09/2016,0.375713281915025,3018.0,2.0,1.0,2.0,-1.028407820247306,-0.6925592514823055,1980.0,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301.0,7456.140350877193
Altona,1A Merritt Ct,3,t,S,hockingstuart,11/02/2017,0.375713281915025,3018.0,3.0,2.0,2.0,-0.7765174590198126,0.013891651114784244,1970.0,Hobsons Bay City Council,-37.8579,144.8181,Western Metropolitan,5301.0,4638.1578947368425
Altona,4/31 Millers Rd,2,u,SP,Greg,11/02/2017,0.375713281915025,3018.0,2.0,1.0,1.0,-1.3816686927004975,-0.6330686491583399,1965.0,Hobsons Bay City Council,-37.8678,144.8384,Western Metropolitan,5301.0,6015.384615384615
Altona,24 Wren St,4,h,S,hockingstuart,11/02/2017,0.375713281915025,3018.0,4.0,1.0,2.0,0.9068473940614838,-0.14970750527612073,1950.0,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301.0,6500.0
Altona,1/152 Blyth St,3,t,SP,Gunn&Co,12/11/2016,0.375713281915025,3018.0,3.0,2.0,2.0,-0.7335117875907284,0.19236345808668057,1970.0,Hobsons Bay City Council,-37.8698,144.816,Western Metropolitan,5301.0,4221.590909090909
Altona,4/57 Blyth St,3,u,SP,Barlow,13/08/2016,0.375713281915025,3018.0,3.0,2.0,1.0,-1.1697121692285826,-0.06790792708066824,2014.0,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,5301.0,5177.304964539007
Altona,3/46 Sargood St,2,u,S,Burnham,15/10/2016,0.375713281915025,3018.0,2.0,1.0,1.0,-0.9608274794301735,-0.5438327456723918,1990.0,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,5301.0,5805.194805194805
Altona,22 Fenfield St,3,h,S,hockingstuart,16/04/2016,0.375713281915025,3018.0,3.0,1.0,2.0,0.4798625134441477,-0.469469492767435,1950.0,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301.0,7793.103448275862
Altona,5/8 David St,2,u,PI,Biggin,16/07/2016,0.375713281915025,3018.0,2.0,2.0,1.0,-0.8440977998369449,-0.5512690709628875,2013.0,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan,5301.0,7631.578947368421
Altona,27 McIntyre Dr,3,h,SP,Greg,18/03/2017,0.375713281915025,3018.0,3.0,2.0,2.0,0.2586904889517146,-0.10508955353314664,1965.0,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301.0,6176.470588235294
Altona,3/20 Mulga St,3,u,S,Williams,23/04/2016,0.375713281915025,3018.0,3.0,2.0,1.0,-0.7519427896317645,-0.2761250352145473,2007.0,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan,5301.0,5106.194690265486
Altona,104 Maidstone St,2,h,SP,hockingstuart,27/11/2016,0.375713281915025,3018.0,2.0,2.0,1.0,0.6918190369160627,-0.37279726399099117,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301.0,8570.0
