Listing ID,Address,Suburb,Postcode,PropType,Price,Status,CBD Distance,Bedroom,Bathroom,Car-Garage,Landsize,Building Area,Built Year,RE Agency
REA14757,123 Graham Rd,Viewbank,3084,h,1131500,SP,13.8,3,1,2,696,435,1984,Christou
REA17574,1/2 Middlefield Dr,Blackburn North,3130,h,1240000,VB,13.4,2,2,1,618,386.25,1986,Fletchers
REA16726,1403/38 Bank St,South Melbourne,3205,u,1250000,S,1.9,3,2,3,284,236.6666667,2001,Greg
REA18685,3/312 Hope St,Brunswick West,3055,u,1257625,SN,5.2,1,1,1,184,115,1960,Barry Plant
REA22190,23 Naughton Gr,Blackburn,3130,h,1350000,SP,13.4,5,2,4,664,553.3333333,1950,Ray White
REA7958,590 Murray Rd,Preston,3072,h,1355000,S,8.8,3,1,2,593,370.625,2002,Barry Plant
REA3001,24 Corroboree Pl,Templestowe Lower,3107,t,1397250,SN,13.8,4,2,2,369,230.625,1996,Allens
REA11902,1/17 Chatham Rd,Canterbury,3126,t,1550000,PI,9,4,2,4,318,227.1428571,1992,Noel Jones
REA16082,15 Ashmore St,Brunswick,3056,h,1590000,SP,5.2,3,2,1,583,306.8421053,1995,Nelson Alexander
REA8008,58 Ashwood Dr,Ashwood,3147,h,1631000,S,12.2,3,2,3,782,325.8333333,2013,Jellis Craig
REA25490,72 Albert St,Mount Waverley,3149,h,1775000,VB,14.2,4,2,1,762,331.3043478,1960,Fletchers
REA2511,54 Baker Pde,Ashburton,3147,h,1830000,S,11,2,1,2,474,206.0869565,1999,Marshall White
REA16628,7 Wave St,Hampton,3188,h,2100000,S,13.8,3,2,1,455,197.826087,1990,Marshall White
REA5229,1/31 Clifton Rd,Hawthorn East,3123,h,2354875,S,7.5,3,2,2,468,203.4782609,2004,Marshall White
REA29641,26 Chaucer Cr,Canterbury,3126,h,3600000,VB,8.4,3,2,2,391,195.5,2007,Marshall White
REA26428,7 Hiraji St,Kurunjang,3337,h,330000,SP,31.7,3,2,1,589,310,2008,Raine
REA3470,407/427 Hampton St,Hampton,3188,u,390000,VB,13.7,1,1,0,259,185,2012,Hodges
REA3522,62 Dunkeld Av,Sunshine North,3020,h,480000,S,13.3,3,2,1,627,330,1991,Douglas
REA5305,2/13 North St,Airport West,3042,u,510000,S,13.5,2,1,1,141,100.7142857,1993,Nelson Alexander
REA35199,8/15 Chenies St,Reservoir,3073,u,570000,SP,12,1,1,1,178,127.1428571,2002,Love
REA30206,49 Archer Av,Sunbury,3429,h,675000,S,31.7,5,2,2,724,482.6666667,2002,Barry Plant
REA29666,11A Fairway St,Frankston,3199,h,708500,PI,38,2,1,1,775,336.9565217,1980,Barry Plant
REA19510,3/521 St Kilda St,Elwood,3184,u,715000,S,7.2,2,1,1,272,170,2005,Chisholm
REA35072,7 Francesca Dr,Mernda,3754,h,720000,SP,25.9,4,2,2,553,325.2941176,2010,Hamilton
REA24662,95 Eliza St,Keilor Park,3042,h,752000,S,10.4,3,1,7,592,328.8888889,1994,Stockdale
REA11872,21 Langton St,Glenroy,3046,h,758000,S,13,2,2,1,492,234.2857143,2013,Stockdale
REA31287,10 Warrego Pl,Taylors Lakes,3038,h,770000,PI,15.5,4,2,2,670,268,1994.5,YPA
REA33037,53 Tarana Av,Glenroy,3046,h,790125,PI,11.2,3,1,1,433,206.1904762,1995,Nelson Alexander
REA18374,42 Byron Rd,Kilsyth,3137,h,811000,SA,26,3,1,3,731,292.4,1957,Barry Plant
REA7080,4/97 Hawdon St,Heidelberg,3084,u,830000,S,10.6,4,2,2,223,139.375,2017,Miles
REA9527,40 Powell St,Reservoir,3073,h,832000,S,11.2,3,1,2,496,248,2009,Nelson Alexander
REA2243,6 Station Pl,Sunshine,3020,h,835000,S,12.6,2,2,2,688,299.1304348,1976,Bells
REA31579,54 Morley St,Glenroy,3046,h,885000,S,11.2,3,1,2,687,429.375,1995,Nelson Alexander
REA33913,8 Kathrin Av,Dingley Village,3172,h,900000,PI,22.2,3,2,2,572,440,1970,Ray White
REA12383,5/11 Eldridge St,Footscray,3011,u,923250,PI,6.4,2,1,1,232,193.3333333,1973,Sweeney
REA21569,74 Hertford Rd,Sunshine,3020,h,965000,S,10.5,2,1,1,544,362.6666667,1993,Barry Plant
REA14823,10 Magnolia St,Oak Park,3046,h,1005000,S,11.5,5,3,2,647,431.3333333,1994,Brad
REA25543,22 Wilkins St,Newport,3015,h,1017500,S,6.2,2,1,1,409,227.2222222,1890,Williams
REA28417,8 Bronwyn Ct,Blackburn South,3130,h,1065000,S,13.4,4,2,2,557,348.125,1978,Stockdale
REA1261,1/52 Neville St,Carnegie,3163,t,1100000,S,11.4,4,2,3,282,176.25,2003,HockingStuart
REA14716,16 Altona St,Kensington,3031,h,1110000,S,4.2,2,1,0,416,231.1111111,2016,Nelson Alexander
REA24957,37 Blair St,Coburg,3058,h,1222000,S,6.7,4,2,1,515,321.875,1975,Nelson Alexander
REA28195,1 Furneaux Gr,Bulleen,3105,h,1308500,SP,10.8,4,3,2,431,226.8421053,1975,Fletchers
REA16971,7 Webb La,East Melbourne,3002,t,1350000,S,1.3,2,2,1,385,240.625,2005,Cain Real Estate
REA21324,3/75 Edinburgh St,Richmond,3121,u,1396000,SP,2.4,1,1,0,141,100.7142857,1997,Collins
REA20325,2/107 Kerr St,Fitzroy,3065,h,1534375,S,2.1,4,2,2,567,354.375,2004,Kay
REA28016,12 Brynor Cr,Glen Waverley,3150,h,1543000,SP,16.7,5,5,2,651,310,2017,Bekdon
REA2817,6b Poole Av,Hampton,3188,t,1610000,S,13.7,3,2,2,332,276.6666667,2001,Buxton
REA24025,16 Scott St,Kew,3101,h,1630000,S,5.4,2,1,0,415,172.9166667,1920,HockingStuart
REA8182,81 Charles St,Prahran,3181,h,1705250,S,4.5,3,2,1,593,329.4444444,2008,Marshall White
REA24066,17 Nicol St,Highett,3190,h,1911000,S,16,4,3,2,616,256.6666667,2005,Buxton
REA33681,43 Regent St,Brighton East,3187,h,2070000,PI,10.3,4,2,2,602,463.0769231,1950,Marshall White
REA29866,112 Wingrove St,Alphington,3078,h,2131250,SP,5.7,1,1,0,447,194.3478261,2006,Nelson Alexander
REA2662,28 Welwyn Av,Brighton East,3187,h,2236250,S,10.7,2,1,1,543,362,2004,Buxton
REA35515,45 Osborne St,South Yarra,3141,h,2262375,PI,2.7,2,2,0,499,262.6315789,2002,HockingStuart
REA9103,10 Charlotte Pl,St Kilda,3182,h,4400000,S,6.1,5,4,4,657,410.625,1996,Marshall White
REA16275,1 Tamar Dr,Melton South,3338,h,355000,S,29.8,4,2,1,766,383,1980,Raine
REA7425,2/10 Hatfield Ct,West Footscray,3012,h,360000,S,8.2,2,1,1,385,213.8888889,1992,Sweeney
REA18503,6 The Mews,Hampton Park,3976,h,400000,PI,33.3,3,1,1,464,220.952381,1998,Stockdale
REA12806,10/581 Orrong Rd,Armadale,3143,u,440000,SP,6.3,1,1,1,218,136.25,1985,Jellis Craig
REA7082,15 Bliburg St,Jacana,3047,h,460000,PI,14.5,3,1,1,601,286.1904762,1993,Eview
REA34205,9/498 North Rd,Ormond,3204,u,535000,S,11.4,1,1,1,252,157.5,2001,Buxton
REA24583,41 Belfort St,St Albans,3021,h,610000,S,14,3,1,2,401,211.0526316,1974,Barry Plant
REA12816,13/220 Barkly St,St Kilda,3182,u,610500,SP,6.1,2,2,1,181,150.8333333,1974,Buxton
REA14621,58 Alexandra Pde,Clifton Hill,3068,h,700000,VB,3.4,2,1,0,622,259.1666667,1989,Nelson Alexander
REA3660,1/88 Grandview Gr,Rosanna,3084,u,730000,VB,11.4,4,2,2,264,188.5714286,2016,Miles
REA25900,28 Victorking Dr,Point Cook,3030,h,733250,SP,14.7,3,2,2,400,166.6666667,2014,S&L
REA15079,10 Cecelia Dr,Keilor East,3033,h,806000,S,11.7,3,2,4,546,455,1984,Barry Plant
REA2638,21/184 Noone St,Clifton Hill,3068,t,810000,PI,3.4,2,1,1,414,345,1986,Raine
REA19186,37 Grange Dr,South Morang,3752,h,810000,S,20.5,4,2,2,639,355,2007,RW Property Group
REA34658,5/35 Glenburnie Rd,Mitcham,3132,t,820000,VB,17.2,3,2,1,312,222.8571429,2010,Hoskins
REA23265,14 Venetian Ct,Croydon,3136,h,858000,S,23,3,1,2,790,564.2857143,1960,RW Property Group
REA18881,307/242 Glen Huntly Rd,Elsternwick,3185,u,900000,VB,7.2,3,2,2,243,151.875,1995,Buxton
REA9100,50 Gloucester St,Reservoir,3073,h,950000,S,11.2,3,2,2,565,226,2011,RW Property Group
REA12226,503/99 River St,South Yarra,3141,u,978500,S,3.3,2,2,2,164,102.5,2014,HockingStuart
REA34991,23D Grant St,Clifton Hill,3068,h,1040000,S,3.6,3,2,1,734,386.3157895,2005,Nelson Alexander
REA921,19 Pridham St,Maribyrnong,3032,h,1079125,S,8.7,3,1,2,692,494.2857143,1998,Brad
REA4224,145a Jasper Rd,Bentleigh,3204,h,1100000,S,13,3,1,2,632,252.8,2007,Buxton
REA22780,33 McGuinness Rd,Bentleigh East,3165,h,1111000,S,13.8,3,2,2,509,318.125,1994,Jellis Craig
REA20730,5 Amberley Ct,Bulleen,3105,h,1230000,S,10.8,3,1,1,757,315.4166667,1994,Barry Plant
REA15978,31 Westgate St,Oakleigh,3166,h,1245000,S,12.3,3,1,1,545,340.625,1990.5,Woodards
REA2620,1 Bloomfield Rd,Ascot Vale,3032,h,1305000,S,5.9,2,1,2,603,463.8461538,2012,Barry Plant
REA14699,31 Amelia Av,Essendon,3040,h,1510000,S,8,4,4,3,603,251.25,1994,Nelson Alexander
REA16859,11 Tarwarri Pl,Burwood East,3151,h,1580000,S,14.7,4,2,2,724,517.1428571,1981,Fletchers
REA6763,205/1177 Glen Huntly Rd,Glen Huntly,3163,u,1607000,PN,10.4,1,1,1,279,174.375,2020,Gary
REA19323,5 Aroona Ct,Aberfeldie,3040,h,1680000,SP,7.5,3,2,2,673,320.4761905,1965,Raine
REA20073,76 Champion St,Brighton,3186,h,1900000,VB,10.5,3,2,1,409,177.826087,1993,RT Edgar
REA28787,40 Littlewood St,Hampton,3188,h,1900000,S,13.8,4,2,2,695,496.4285714,1993,HockingStuart
REA20554,30 Shoobra Rd,Elsternwick,3185,h,2410000,PI,7.2,4,2,1,390,177.2727273,1920,Biggin
REA24335,1/417 Glen Eira Rd,Caulfield North,3161,t,2416250,PN,7.8,3,1,2,333,208.125,1981,Gary
REA28464,4 Wright St,Hawthorn,3122,h,2625875,PI,5.3,4,3,2,602,261.7391304,1991,RT Edgar
REA32176,29 Dominic St,Camberwell,3124,h,2650000,PI,7.7,4,2,2,791,608.4615385,1930,RT Edgar
REA30538,30 Cosham St,Brighton,3186,t,2650000,VB,10.5,3,3,2,360,257.1428571,1993,Marshall White
REA16064,67 Cole St,Brighton,3186,h,3329000,S,10.5,5,3,2,796,318.4,1981,Marshall White
REA26225,7 Laurel Av,Doveton,3177,h,396000,SP,28.8,3,2,1,413,206.5,2010,Century 21
REA21370,2/1 Collins St,Thornbury,3071,u,428000,PI,7,1,1,1,171,142.5,1970,Harcourts
REA29117,38/10 Acland St,St Kilda,3182,u,435000,S,5,1,1,0,176,110,2019,HockingStuart
REA12007,9/22 Stanley St,Collingwood,3066,u,452000,SP,1.6,1,1,1,194,161.6666667,2014,Jellis Craig
REA21772,29 Laurina Cr,Frankston North,3200,h,485000,S,36.9,2,2,1,397,330.8333333,1985,Community
REA18045,6 Renaissance Bvd,Mernda,3754,h,520500,S,25.9,4,2,2,482,192.8,2010,RW Property Group
REA7027,13/9 The Strand,Moonee Ponds,3039,u,650000,SP,6.9,3,1,1,239,170.7142857,1990,Brad
REA21851,1/4 Southey Ct,Elwood,3184,u,670000,VB,7.2,2,1,0,242,201.6666667,1950,Chisholm
REA24401,39 Kevin Av,Ferntree Gully,3156,h,675000,S,24.8,3,1,2,664,276.6666667,1981,Stockdale
REA32875,1/14 Milton St,Elwood,3184,u,680000,PI,7.2,1,1,1,197,123.125,1986,Buxton
REA27459,42 Sharpes Rd,Watsonia North,3087,h,765000,PI,14.5,3,1,2,638,290,1960,Ray White
REA5988,3/122 Williams Rd,Prahran,3181,u,781000,S,4.5,2,1,1,235,146.875,2005,Wilson
REA15752,65 Clydesdale Rd,Airport West,3042,h,845000,S,10.4,3,1,2,589,256.0869565,2013,Barry Plant
REA13831,3/10 Melville Rd,Brunswick West,3055,t,865000,S,5.9,2,1,2,416,260,2004,Barry Plant
REA15920,1/23 Yertchuk Av,Ashwood,3147,u,880000,SP,10.2,3,3,2,194,161.6666667,2013,Buxton
REA26994,1/34 Arthur St,Aberfeldie,3040,u,910000,S,7.5,1,1,0,284,177.5,1987,Brad
REA31819,1A Aster Cr,Highett,3190,h,950000,PI,16,3,3,4,423,192.2727273,1995,Maitland
REA29509,26 Royal Av,Heathmont,3135,h,1032250,SN,21.3,3,1,1,656,262.4,1961.5,Barry Plant
REA7898,6 Clarke St,Northcote,3070,h,1050000,SP,5.5,3,1,0,469,335,1988,Nelson Alexander
REA21553,16 Foster Rd,Eltham,3095,h,1060000,S,18,4,2,2,527,210.8,1980,Buckingham
REA22736,13 McSwain St,Parkdale,3195,h,1100000,VB,21.5,5,3,4,452,265.8823529,1990,Buxton
REA6625,481 City Rd,South Melbourne,3205,h,1100000,VB,2.1,2,1,2,414,318.4615385,2019,Greg
REA13505,108/40 Beach St,Port Melbourne,3207,u,1110000,S,3.8,2,2,1,259,161.875,2002,RT Edgar
REA25574,368 Punt Rd,South Yarra,3141,h,1300000,PI,2.7,3,1,1,452,322.8571429,1995,Jellis Craig
REA3314,14 New St,Armadale,3143,h,1300000,VB,6.3,2,1,2,428,225.2631579,2011,Jellis Craig
REA28539,16a Keith St,Hampton East,3188,t,1320000,S,13.8,3,2,2,320,266.6666667,2014,Hodges
REA31439,16a Jassa St,Bentleigh East,3165,t,1320500,S,13.8,4,3,2,333,277.5,2017,Buxton
REA22691,11/1 Princess St,Richmond,3121,t,1321000,S,2.4,3,2,2,394,246.25,1997,Nelson Alexander
REA1342,17 Langridge St,Fairfield,3078,h,1330000,S,5.8,2,1,1,600,500,2001,Barry Plant
REA11863,2/168 Hawdon St,Heidelberg,3084,u,1364500,PI,10.6,2,1,1,184,115,2008,Ray White
REA27801,15 Watt Av,Oak Park,3046,h,1390000,S,11.2,5,4,4,792,416.8421053,1925,Jellis Craig
REA11523,6a Sylvan Cr,Ashwood,3147,t,1400000,S,12.2,4,2,2,323,230.7142857,2020,Buxton
REA26032,2 Plumtree Cl,Eltham,3095,h,1470000,S,18,4,4,3,580,241.6666667,2014,Jellis Craig
REA3850,35 Pakington St,St Kilda,3182,h,1678000,S,6.1,3,2,2,597,459.2307692,1976,McGrath
REA8372,27 Bewdley St,Ormond,3204,h,1875000,S,11.8,4,2,2,702,305.2173913,1978,HockingStuart
REA15702,171 North Rd,Gardenvale,3185,h,1880000,S,7.2,5,2,2,538,358.6666667,2011,Biggin
REA8156,11 Clifton Av,Clifton Hill,3068,h,2560000,S,3.4,3,2,2,542,235.6521739,1994,Collins
REA8833,5/23 Daisy St,Essendon,3040,u,411000,S,8,2,1,1,274,171.25,2008,Nelson Alexander
REA23472,13/21 Brunnings Rd,Carrum Downs,3201,u,420000,SP,34.9,3,2,2,175,145.8333333,2008,O'Brien Real Estate
REA19074,53 Barries Rd,Melton,3337,h,450250,SN,31.7,3,1,2,780,520,1970,Barry Plant
REA854,2/146 Blyth St,Brunswick East,3057,u,510000,S,4.5,2,1,1,220,183.3333333,1993,Nelson Alexander
REA22219,3/152 Cumberland Rd,Pascoe Vale,3044,h,555000,S,8.5,2,1,1,477,238.5,1980,Nelson Alexander
REA14662,7/200 Albion St,Brunswick,3056,u,585000,PI,5.2,2,1,1,199,165.8333333,1994,Jellis Craig
REA19916,4/6 Crown Av,Mordialloc,3195,u,600000,S,21.5,2,1,1,253,210.8333333,1967,Barry Plant
REA25643,136 Kingston Bvd,Hoppers Crossing,3029,h,615000,S,18.4,3,2,2,600,461.5384615,2000,Barry Plant
REA10472,3/27 Stephen St,Yarraville,3013,t,650000,VB,7,2,1,1,324,202.5,1996,Jason
REA31248,29 Arkley Dr,Greenvale,3059,h,671000,S,20.4,3,2,2,595,247.9166667,2006,Barry Plant
REA3838,6 Mattea Ct,Reservoir,3073,u,672000,S,11.2,3,1,2,173,144.1666667,1990,Harcourts
REA3926,3/61 Stawell St,Richmond,3121,u,696000,S,2.6,2,2,1,203,169.1666667,2010,Jellis Craig
REA1883,2/15 Liverpool St,Bentleigh East,3165,t,805000,S,13.9,2,1,2,391,244.375,2000,HockingStuart
REA31715,182 Pilgrim St,Seddon,3011,h,807500,SP,5.1,2,1,2,396,330,2016,Sweeney
REA8814,56a First Av,Altona North,3025,h,925000,SP,11.1,3,2,1,491,409.1666667,1997,RT Edgar
REA19936,9 Coltain St,Vermont South,3133,h,950000,VB,17.2,4,2,2,660,471.4285714,1981,Fletchers
REA13826,16A Denver St,Bentleigh East,3165,t,1210000,S,13.9,4,2,3,385,275,2013,Buxton
REA13543,38 Nirvana Cr,Bulleen,3105,h,1308500,S,11.8,2,1,1,484,193.6,1988,Fletchers
REA13944,165 Highbury Rd,Burwood,3125,h,1364125,PI,11.7,4,1,3,697,366.8421053,1983,Ray White
REA21605,9 Abelia St,Doncaster East,3109,h,1370000,SP,14.3,4,2,2,431,195.9090909,1965,Fletchers
REA20288,209/28 Tanner St,Richmond,3121,t,1396000,SN,2.4,1,1,1,344,245.7142857,1920,Greg
REA15781,259 Fitzroy St,Fitzroy,3065,h,1534375,PI,2.1,3,2,1,435,217.5,1860,Nelson Alexander
REA34785,11 Russell St,Caulfield South,3162,h,2050000,PI,8.7,5,3,2,579,445.3846154,2013,Gary
REA13978,8 Anderson St,Ascot Vale,3032,h,2100000,S,5.9,5,3,3,468,275.2941176,1973,Nelson Alexander
REA17442,5 Alastair Ct,Surrey Hills,3127,h,2195000,S,10.2,4,1,0,513,213.75,1994,Marshall White
REA22256,51A Clonaig St,Brighton East,3187,t,2236250,SN,10.3,3,2,2,320,228.5714286,2013,Gary
REA6777,10/37 Wheatland Rd,Malvern,3144,u,2659000,S,7.4,1,1,1,237,148.125,1978,HockingStuart
REA15805,4/13 Denham Pl,Toorak,3142,u,5487500,SN,4.1,2,1,1,270,225,1950,HockingStuart
REA31200,19/74 Thomas St,South Morang,3752,h,412500,S,20.5,1,1,0,511,365,2016,Hamilton
REA28474,5/8 Mawbey St,Kensington,3031,u,490000,SP,3.4,2,1,2,178,148.3333333,2017,Nelson Alexander
REA29959,53 Thoresby Cct,Craigieburn,3064,h,515000,SP,20.6,3,2,1,523,227.3913043,2008,RE
REA17719,1 Garden Tce,Melton West,3337,h,521500,PN,31.7,3,2,2,430,252.9411765,1990,HockingStuart
REA12019,9/3 Irving St,Malvern,3144,u,570500,S,7.4,2,1,2,277,173.125,2011,HockingStuart
REA33536,8 Parkinson Wy,Roxburgh Park,3064,h,622000,S,20.6,3,2,2,552,345,2000,Stockdale
REA22860,110 Allenby Rd,Hillside,3037,h,628000,S,18,4,2,1,480,218.1818182,2003,Barry Plant
REA5125,220a Mansfield St,Thornbury,3071,h,701000,S,6.5,3,3,2,645,322.5,2001,Stockdale
REA16797,18A Hart St,Airport West,3042,t,730000,S,10.4,3,1,2,336,210,2010,Brad
REA12964,6/87 Earl St,Kew,3101,t,752000,S,5.6,3,2,2,332,276.6666667,2002,HockingStuart
REA1195,155 Nicholson St,Coburg,3058,h,825000,S,7.8,4,4,2,543,236.0869565,1985,Ray White
REA32966,510 Barkly St,West Footscray,3012,h,832000,S,6.4,4,1,1,421,233.8888889,1910,Jason
REA21861,2/57 Clingin St,Reservoir,3073,t,873750,VB,12,2,1,1,378,270,1993,RW Property Group
REA8612,2/34 Queens Av,Oakleigh,3166,u,969000,S,14,2,2,2,169,140.8333333,1989,Buxton
REA1099,29 Bennett St,Richmond,3121,h,1088000,S,2.6,3,3,2,594,237.6,1915,Jellis Craig
REA21650,7 Lynden Gr,Mount Waverley,3149,h,1100000,VB,14.2,4,2,2,546,364,1982,TTS Real Estate
REA31268,9 Dawn Ct,Viewbank,3084,h,1140000,VB,8.9,4,2,2,574,302.1052632,1980,Miles
REA25992,21 Rosehill Rd,Essendon West,3040,h,1252000,S,7.5,3,1,2,501,417.5,1991,Nelson Alexander
REA21119,3 Besant St,Hampton East,3188,h,1280000,SP,13.8,3,1,3,658,365.5555556,1998,Buxton
REA31231,4 Blythe St,Murrumbeena,3163,h,1437000,S,10.1,3,2,2,763,448.8235294,1996,Ray White
REA19985,45 Salisbury Av,Blackburn,3130,h,1519375,SN,13.4,3,1,2,525,350,1985,Woodards
REA33632,31 Webster St,Malvern East,3145,h,1700000,PI,8.4,3,1,1,588,392,1992.5,Buxton
REA11565,32 Howie St,Glen Iris,3146,h,1751000,S,9.2,3,1,3,609,243.6,1992,Jellis Craig
REA3569,30 Sunlight Cr,Brighton East,3187,h,2630000,SP,10.7,4,2,3,523,249.047619,1993,Buxton
REA32946,1/184 Brougham St,Kew,3101,t,2652875,S,5.4,2,2,1,355,253.5714286,1998,Nelson Alexander
REA1541,19 Glendearg Gr,Malvern,3144,h,2659000,S,7.4,1,1,0,434,333.8461538,2011,Marshall White
REA32295,20a Wordsworth St,St Kilda,3182,h,2810000,S,5,4,5,3,497,261.5789474,1995,Pride
REA17022,21 Iona Av,Toorak,3142,h,6460000,S,4.1,4,3,2,557,327.6470588,1995,RT Edgar
REA1212,1/949 Punt Rd,South Yarra,3141,u,310000,SP,3.3,2,1,1,214,152.8571429,2016,HockingStuart
REA16994,5/456 Albion St,Brunswick West,3055,u,312000,S,5.2,1,1,1,237,197.5,1970,Jellis Craig
REA21388,17 Canadian Ct,Meadow Heights,3048,h,535000,SP,17.4,3,1,4,572,286,1980,Barry Plant
REA16170,1/36 Grange Rd,Toorak,3142,u,550000,PI,4.1,1,1,1,200,125,1965,Williams
REA19963,8 Brownlow Cr,Epping,3076,h,561000,S,19.6,3,1,0,518,235.4545455,1998,HockingStuart
